nid,vid,type,language,title,uid,status,contactinfo,description,created,changed,industry,sticky,tnid,translate
73,15834,associate_member,und,Commonwealth Property Management Services Company,23,1,"<p>Adam Cook<br />18150 SW Boones Ferry Road<br />Portland, OR 97224<br />Phone: (503) 244-2300<br />Fax: (503) 768-4660<br />E-mail: Adam.Cook@cwres.com<br />www.cwres.com</p>",,1402778511,1555023764,916,0,0,0
74,15832,associate_member,und,"Davis Wright Tremaine, LLP",23,1,"<p>Bill Miner<br />1300 SW Fifth Avenue, Suite 2300<br />Portland, OR 97201-5630<br />503.241.2300<br /><a href=""mailto:billminer@dwt.com"">billminer@dwt.com</a></p>",,1402778511,1512943583,916,0,0,0
75,15835,associate_member,und,"Commercial Property Management, Inc.",23,1,"<p>Charlie Bigelow</p><p>718 Black Oak Dr. #A<br />Medford, OR 97504<br />Phone: (541) 842-2436<br />Fax: (541) 776-4589</p><p>Email: cbigelow@cpmrealestateservices.com</p>",,1402778511,1512943569,916,0,0,0
77,15836,associate_member,und,Storz Management Co.,23,1,"<p>PO Box 580<br />Orangevale, CA 95662<br />(916) 989-5333</p>",,1402778511,1516820036,916,0,0,0
78,15837,associate_member,und,"Kampfer Enterprises Sls./Mgmt. Services, Inc.",23,1,"<p>Larry Kampfer<br />578 NW VanBuren<br />Corvallis, OR 97330<br />(541) 750-7952</p><p><a href=""mailto:larrykampfer@realtor.com"">larrykampfer@realtor.com</a></p>",,1402778511,1512943543,916,0,0,0
81,15838,associate_member,und,ManageAmerica Integrated Billing Service,23,1,"<p>Bonnie Bonfanti<br />P.O. Box 5639<br />Santa Barbara, CA 93150-5639<br />(805) 770-2886</p><p>Email:&nbsp;<a href=""mailto:bbonfanti@manageamerica.com"">bbonfanti@manageamerica.com</a></p><p>Website: www.manageamerica.com</p>",,1402778511,1512943597,916,0,0,0
90,15839,associate_member,und,"Baker Mortgage Co., LLC",23,1,"<p>Victor M. Baker<br />Manager</p><p>Baker Mortgage Co., LLC<br />PO Box 12964<br />Salem, OR 97309-0964<br />Phone: 503-390-4914<br />Fax: 503-390-8386<br />Computer Fax: 503-218-7012<br />Cell: 503-580-8020<br /><a href=""mailto:vmbaker@comcast.net"">vmbaker@comcast.net</a></p>",,1402778511,1521229964,916,0,0,0
92,15831,associate_member,und,"North Plains Holdings, LLC",23,1,"<p>18485 SW Scholls Ferry Rd.<br />Beaverton, OR 97007<br />Phone: 503-628-0526<br />Fax: 503-536-6868<br /><a href=""mailto:ed@bartholemy.biz"">ed@bartholemy.biz</a></p>",,1402778511,1521230250,916,0,0,0
99,15830,associate_member,und,"Querin Law, LLC",23,1,"<p>Phillip C. Querin (MHCO Legal Counsel)<br />150 SW Harrison St., Suite 50<br />Portland, OR 97201</p><p>Phone: 503-444-7661<br />E-Mail: <a href=""mailto:phil@q-law.com"">phil@q-law.com</a></p>",,1402778511,1521229370,916,0,0,0
100,15829,associate_member,und,Ridge Management Group,23,1,"<p>Tom Jarmer<br />P.O. Box 778<br />Clackamas, OR 97015<br /><br />Phone: 503-722-1790<br />Fax: 503-722-1866<br />E-mail: <a href=""mailto:ttjarmer@msn.com"">ttjarmer@msn.com</a></p>",,1402778511,1528214396,916,0,0,0
101,15828,associate_member,und,CASA of Oregon,23,1,"<p>Chelsea Catto<br />20512 SW Roy Rogers Rd<br />Suite 1 Sherwood, OR 97140<br />Phone: 503-537-0319<br />Fax: 503-537-0558<br />E-mail: chelseac@casaoforegon.org</p>",,1402778511,1512943077,916,0,0,0
