tid,revision_id,name,langcode,status,default_langcode,changed,revision_translation_affected
858,858,Adair Village,en,1,1,1561671213,1
860,860,Adams,en,1,1,1561671213,1
889,889,Adrian,en,1,1,1561671213,1
14,14,Albany,en,1,1,1561671213,1
88,88,Aloha,en,1,1,1561671213,1
494,494,Alsea,en,1,1,1561671213,1
862,862,Amity,en,1,1,1561671213,1
861,861,Antelope,en,1,1,1561671213,1
74,74,Applegate,en,1,1,1561671213,1
728,728,Arch Cape,en,1,1,1561671213,1
982,982,Arlington,en,1,1,1561671213,1
34,34,Ashland,en,1,1,1561671213,1
22,22,Astoria,en,1,1,1561671213,1
148,148,Athena,en,1,1,1561671213,1
864,864,Aumsville,en,1,1,1561671213,1
136,136,Aurora,en,1,1,1561671213,1
141,141,Baker City,en,1,1,1561671213,1
149,149,Bandon,en,1,1,1561671213,1
150,150,Banks,en,1,1,1561671213,1
893,893,Barlow,en,1,1,1561671213,1
890,890,Bay City,en,1,1,1561671213,1
105,105,Beaverton,en,1,1,1561671213,1
33,33,Bend,en,1,1,1561671213,1
89,89,Boardman,en,1,1,1561671213,1
93,93,Boring,en,1,1,1561671213,1
32,32,Brookings,en,1,1,1561671213,1
69,69,Brooks,en,1,1,1561671213,1
92,92,Brownsville,en,1,1,1561671213,1
61,61,Burlingame,en,1,1,1561671213,1
135,135,Burns,en,1,1,1561671213,1
894,894,Butte Falls,en,1,1,1561671213,1
115,115,Canby,en,1,1,1561671213,1
726,726,Cannon Beach,en,1,1,1561671213,1
129,129,Canyon City,en,1,1,1561671213,1
101,101,Canyonville,en,1,1,1561671213,1
1114,1114,Carlsbad,en,1,1,1561671213,1
891,891,Carlton,en,1,1,1561671213,1
892,892,Cascade Locks,en,1,1,1561671213,1
895,895,Cave Junction,en,1,1,1561671213,1
18,18,Central Point,en,1,1,1561671213,1
983,983,Chiloquin,en,1,1,1561671213,1
1006,1006,Christmas Valley,en,1,1,1561671213,1
21,21,Clackamas,en,1,1,1561671213,1
6,6,Clatskanie,en,1,1,1561671213,1
124,124,Cloverdale,en,1,1,1561671213,1
984,984,Coburg,en,1,1,1561671213,1
137,137,Columbia City,en,1,1,1561671213,1
72,72,Coos Bay,en,1,1,1561671213,1
53,53,Coquille,en,1,1,1561671213,1
17,17,Cornelius,en,1,1,1561671213,1
45,45,Corvallis,en,1,1,1561671213,1
46,46,Cottage Grove,en,1,1,1561671213,1
153,153,Coupeville,en,1,1,1561671213,1
26,26,Creswell,en,1,1,1561671213,1
125,125,Culver,en,1,1,1561671213,1
29,29,Dallas,en,1,1,1561671213,1
108,108,Damascus,en,1,1,1561671213,1
