fnid,vid,type,language,titties,body,teaser,by,columnimage,featureme,columntype,authoorg,authuid,mereal,pub,revtime,comment,promote,sticky,tnid,translate
486,15734,column,und,Phil Querin Q&A: Resident Improvements and Building Code Compliance,Null,Null,23,99999,0,100000,100001,839,1,1400252250,1512942464,1,0,0,0,0
488,15724,column,und,Phil Querin Q&A: Landlord vs. Tenant Responsibility For Condition of Grounds,Null,Null,23,99999,0,100000,100001,839,1,1400601777,1403474063,1,0,0,0,0
494,15723,column,und,Phil Querin Q&A: Fees Against Tenants Who Violate the Rules,Null,Null,23,99999,0,100000,100001,839,1,1401802451,1403474057,1,0,0,0,0
497,15712,column,und,Phil Querin Q&A: Tenant Medical Marijuana Use in Oregon: Is it One Toke Over the Landlord's Line?,Null,Null,23,99999,0,100000,100001,839,1,1402410629,1512942459,1,0,0,0,0
12761,15861,column,und,Mark Busch Q&A: Discrimination Claims by RV Tenants,Null,Null,23,99999,0,100000,100001,839,1,1402886445,1512942461,1,0,0,0,0
12762,15862,column,und,Mark Busch Q&A: Background Checks in RV Parks,Null,Null,23,99999,0,100000,100001,839,1,1402938934,1512942462,1,0,0,0,0
12763,15863,column,und,Mark Busch Q&A: Abandoned RVs,Null,Null,23,99999,0,100000,100001,839,1,1402939089,1512942462,1,0,0,0,0
12764,15864,column,und,Mark Busch Q&A: RV Tenant Eviction,Null,Null,23,99999,0,100000,100001,839,1,1402939382,1512942462,1,0,0,0,0
12765,15865,column,und,Mark Busch Q&A: RV Rental Agreements,Null,Null,23,99999,0,100000,100001,839,1,1402939587,1512942462,1,0,0,0,0
12768,15868,column,und,Phil Querin Q&A: Changes in Regulations Dealing with Ability To Sell Formerly Abandoned Homes,Null,Null,23,99999,0,100000,100001,839,1,1403469069,1512942462,1,0,0,0,0
12769,15869,column,und,Mark Busch Q&A: RV Tenant Forms,Null,Null,23,99999,0,100000,100001,839,1,1403469228,1512942462,1,0,0,0,0
12776,15876,column,und,Phil Querin Q&A: Landlord's Rejection Of Application For Tenancy,Null,Null,23,99999,0,100000,100001,839,1,1404015316,1404501805,1,0,0,0,0
12782,15882,column,und,Phil Querin Q&A: Screening Applicants - Is It Okay to Change Criteria? Any Changes in Oregon Law?,Null,Null,23,99999,0,100000,100001,839,1,1404674279,1512942459,1,0,0,0,0
12783,15883,column,und,Phil Querin Q&A: Landlord Social Security Number on Application for Community Services,Null,Null,23,99999,0,100000,100001,839,1,1404920759,1512942462,1,0,0,0,0
12793,15893,column,und,Mark Busch Q&A: Can I Close That Bathroom?,Null,Null,23,99999,0,100000,100001,839,1,1405955529,1512942462,1,0,0,0,0
12798,15898,column,und,Reinvesting In Capital Projects In Your Community,Null,Null,23,99999,0,100000,100001,839,1,1406829821,1512942462,1,0,0,0,0
12805,15905,column,und,Phil Querin Q&A: May a Landlord Unilaterally Decline to Renew a Resident's Fixed Term Tenancy?,Null,Null,23,99999,0,100000,100001,839,1,1406915764,1406916084,1,0,0,0,0
12807,15907,column,und,Phil Querin Q&A: Home On Storage Agreement Not Maintained - What Next?,Null,Null,23,99999,0,100000,100001,839,1,1406916296,1512942462,1,0,0,0,0
12826,15926,column,und,Phil Querin Q&A: Can Community Owner Insist Resident Use Specific Sales Agent When Selling Home in the Community?,Null,Null,23,99999,0,100000,100001,839,1,1407433753,1512942462,1,0,0,0,0
12828,15928,column,und,Mark Busch Q&A: RVs: Clean It Up!,Null,Null,23,99999,0,100000,100001,839,1,1407433886,1408985472,1,0,0,0,0
12879,15979,column,und,Phil Querin Q&A: Non-Resident Sexual Predator Working in Community,Null,Null,23,99999,0,100000,100001,839,1,1407715790,1512942462,1,0,0,0,0
12904,16004,column,und,Understanding Elder Abuse,Null,Null,23,99999,0,100000,100001,839,1,1414433982,1415042486,1,0,0,0,0
12906,16006,column,und,Sensible Innovation for Financing Homes in the Dodd-Frank Era,Null,Null,23,99999,0,100000,100001,839,1,1415040966,1415040966,1,0,0,0,0
12907,16007,column,und,Advertising and Fair Housing Violations,Null,Null,23,99999,0,100000,100001,839,1,1415041293,1512942462,1,0,0,0,0
12908,16008,column,und,Anatomy of the Manufactured Home Community Insurance Policy,Null,Null,23,99999,0,100000,100001,839,1,1415044159,1512942462,1,0,0,0,0
12909,16009,column,und,"Lessons From a $76,000 Fair Housing Settlement",Null,Null,23,99999,0,100000,100001,839,1,1415044495,1512942462,1,0,0,0,0
12910,16010,column,und,Occupancy By Whose Standard - Part 1 of 2,Null,Null,23,99999,0,100000,100001,839,1,1415044777,1512942462,1,0,0,0,0
12911,16011,column,und,Occupancy By Whose Standard - Part 2 of 2,Null,Null,23,99999,0,100000,100001,839,1,1415044864,1512942459,1,0,0,0,0
12912,16012,column,und,Bill Miner RV Q&A,Null,Null,23,99999,0,100000,100001,839,1,1415045319,1562265623,1,0,0,0,0
12913,16013,column,und,A Refresher on the Housing for Older Persons Act (55 and Older Communities),Null,Null,23,99999,0,100000,100001,839,1,1415045581,1512941679,1,0,0,0,0
