authname,fnid,vid,type,language,titties,body,teaser,uid,by,columnimage,featureme,columntype,authoorg,authuid,mereal,pub,revtime,comment,promote,sticky,tnid,translate
chuck carpenter,181,15748,column,und,Phil Querin Q&A: Storage Agreement About to Expire Home Unlikely to Sell,"<p>Answer: There are certain facts that are missing from this question. I will supply them and then answer. So, let's assume the following: (a) This is a periodic (i.e. month-to-month) tenancy; (b) The tenant has moved out of the home and it is now vacant; (c) The rents are not being paid; and lastly, let's assume that (d) The landlord was to be paid all past-due rent from the sale proceeds. However, before answering the question, however, let me point out a fatal error by this landlord - and many other landlords: They don't look at the Worst Case Scenario. I'm sure the Storage Agreement adequately covered what was to occur upon sale. But since we have a landlord now asking what happens if the sale does not occur by November 30, I'm led to believe the parties neglected to address (in writing) the possibility of failure. Memo to MHCO landlords: Written agreements with tenants should always address the exit strategy"" - i.e. what protocol kicks in if the home is not sold and not removed by November 30. Without addressing this issue in the written Storage Agreement",Null,839,23,99999,0,100000,100001,839,1,1320077553,1512942464,1,0,0,0,0
chuck carpenter,203,15747,column,und,Phil Querin Q&A: Selling Homes and Working With a Third Party Mortgage Banker & the SAFE ACT,"<p style=""text-align: justify;""><strong>Answer:</strong> Per the Oregon Department of Community and Business Services, ...there is definitely no license for that."" [Note: This answer may not apply if the community owner is collecting the payments for an unrelated third party who holds the installment contract. PCQ]</p><p style=""""text-align: justify;""""><em><strong>Comment: The above question supplements the FAQs posted by MHCO regarding the SAFE Act earlier this month. According to the Oregon Department of Community and Business Services (""DCBS"")",Null,839,23,99999,0,100000,100001,839,1,1324313461,1512942464,1,0,0,0,0
chuck carpenter,218,15746,column,und,Phil Querin Q&A:  Resident Couple Divorces - One Moves Out - How to Document,"<p>Answer: First, please understand that Oregon law does not directly deal with this - and neither is it addressed in most rental/lease agreements, including MHCO's. So my responses are based upon my opinion alone. Until an appellate court rules on these issues - which is unlikely, since most such cases are never appealed - the best we can do is speculate. My answers are in italics below.</p><p>1. Do we write a new lease for the remaining resident or keep the old lease with both residents on the lease?</p><p><em>I think I would prefer to see a new lease signed by the remaining resident - even if title remains in both their names. That way, the ex-spouse cannot argue that he or she has a right of occupancy a year or two down the road, when they patch things up, or one moves out and the other moves back in. A new lease would require than any new occupants be qualified all over again. Note that if the lease is changed into the name of the remaining resident, the ex-spouse would certainly have no liability for space rent going forward.</em></p><p>2. Can we legally keep the resident that moved out, responsible for the lease after a divorce and separation of assets?</p><p><em>Technically, yes. Neither the divorce decree nor the parties themselves can - without your consent - alter their joint legal duties under a lease they both signed. [This situation is not dissimilar to spouses jointly signing their mortgage and then divorcing; they both remain liable under the mortgage, even though one vacates the home.] The best a divorce court can do is to make the occupying ex-spouse primarily responsible for the rent and give indemnity rights to the non-occupying ex-spouse in case she or he end up having to pay for unpaid rent that should have been paid by the occupying ex-spouse.</em></p><p>3. Do we rescreen the remaining resident to see if he/she qualifies on their own?</p><p><em>I have a visceral reaction to doing so - if they did not pass the credit requirements, then what? Deny them the right to stay in the community in which they have lived for a number of years? Kick them out without waiting to see whether they can - or will make the payments? That is like punishing the remaining ex-spouse for being divorced. Remember, the occupying ex-spouse will likely be the custodial parent, if children are involved. The non-custodial parent will likely have some child support obligation, which would then make the custodial parent's individual credit score less important. The same may be said even if there are no children; there may be a spousal support obligation by the non-occupying ex-spouse. It seems to me that it will become clear soon enough, whether the occupying ex-spouse can or will make the space rental payments, independent of what their current credit score may be.</em></p><p>4. If we do rescreen the remaining resident and he/she fails the credit or criminal background, what are our options?</p><p><em>Before you re-screen, re-read my answer to Question No. 3 above. If the lease agreement or rules do not address the possibility of spouses divorcing - and I have never seen any that do - the ultimate decision on whether you may re-screen could be left up to a judge. I submit that judges do not like to evict people out of their homes unless there is a compelling reason to do so. A case in which a resident is being evicted for no reason other than that they no longer meet the credit criteria - with no evidence that they are in default under the lease or rules - would be a very difficult sell to most judges. It is unlikely that you would prevail. I compare this situation to requiring a resident to be re-screened upon a job loss or death of a spouse. In cases of such unplanned events occurring after residents have been approved, I suggest that you let the situation play itself out. If a resident cannot afford to pay the space rent, you will then have sufficient cause to evict. But to try to evict because you doubt the ability of the resident to pay rent in the future, is premature and likely to fail. </em></p><p>5. Who owns the security deposit or pre-paid rent?</p><p><em>That depends upon whether you have the remaining resident sign a new lease. If a new lease is signed, you could issue a refund check to both of them under the first least, and require the remaining occupant to pay a new deposit under the new lease. It would be preferable, however, to see if they could agree to authorize you to leave the existing deposit in place, but permitting you to refund it, if appropriate, to the remaining occupant at the end of his/her tenancy. If no agreement can be reached, simply hold the deposit until expiration of the tenancy by the occupying non-spouse, and then, if a refund is in order, make the check out to both of them.</em></p>",Null,839,23,99999,0,100000,100001,839,1,1329150523,1512942464,1,0,0,0,0
chuck carpenter,246,15745,column,und,Phil Querin Q&A:  Temporary Occupants and Implications for Rules and Regulations Screening and Eviction,"<p><strong>Answer: </strong>Not in my opinion. The temporary occupant agreement concept is that the person is not going to be a co-renter"". They are being permitted to come onto the space as an accommodation by the landlord to the current resident who wants them there. If they are to become a temporary occupant",Null,839,23,99999,0,100000,100001,839,1,1332868771,1402810696,1,0,0,0,0
chuck carpenter,248,15744,column,und,Phil Querin Q&A: Religious and Political Material Left in Community,"<p><strong>Answer:</strong> This is a new one. The Oregon landlord tenant law does not expressly address this specific issue. The closest it comes are the following laws:</p><p>1. ORS 90.755 Right to speak on political issues; limitations; placement of political signs:</p><p>(1) No provision in any bylaw, rental agreement, regulation or rule may infringe upon the right of a person who rents a space for a manufactured dwelling or floating home to invite public officers, candidates for public office or officers or representatives of a tenant organization to appear and speak upon matters of public interest in the common areas or recreational areas of the facility at reasonable times and in a reasonable manner in an open public meeting. The landlord of a facility, however, may enforce reasonable rules and regulations relating to the time, place and scheduling of the speakers that will protect the interests of the majority of the homeowners.</p><p>(2) The landlord shall allow the tenant to place political signs on or in a manufactured dwelling or floating home owned by the tenant or the space rented by the tenant. The size of the signs and the length of time for which the signs may be displayed are subject to the reasonable rules of the landlord. (Emphasis added.)</p><p>2. 90.750 Right to assemble or canvass in facility; limitations. No provision contained in any bylaw, rental agreement, regulation or rule pertaining to a facility shall:</p><p>(1) Infringe upon the right of persons who rent spaces in a facility to peaceably assemble in an open public meeting for any lawful purpose, at reasonable times and in a reasonable manner, in the common areas or recreational areas of the facility. Reasonable times shall include daily the hours between 8 a.m. and 10 p.m.</p><p>(2) Infringe upon the right of persons who rent spaces in a facility to communicate or assemble among themselves, at reasonable times and in a reasonable manner, for the purpose of discussing any matter, including but not limited to any matter relating to the facility or manufactured dwelling or floating home living. The discussions may be held in the common areas or recreational areas of the facility, including halls or centers, or any resident's dwelling unit or floating home. The landlord of a facility, however, may enforce reasonable rules and regulations including but not limited to place, scheduling, occupancy densities and utilities.</p><p>(3) Prohibit any person who rents a space for a manufactured dwelling or floating home from canvassing other persons in the same facility for purposes described in this section. As used in this subsection, canvassing"" includes door-to-door contact",Null,839,23,99999,0,100000,100001,839,1,1335283272,1512942464,1,0,0,0,0
chuck carpenter,252,15743,column,und,Phil Querin Q&A: Partial Payment Offered By Resident on the 5th of the Month,"<p><strong>Answer:</strong> The Oregon landlord-tenant law does not require"" that a landlord accept partial payments. To the contrary",Null,839,23,99999,0,100000,100001,839,1,1336574903,1512942464,1,0,0,0,0
chuck carpenter,259,15742,column,und,Phil Querin Q&A: Abandoned t Home Community Owner Wants to Obtain Home,"<p>Answer: All good questions. The entire statute, which is lengthy, is found at ORS 90.675. (a) Can a landlord acquire a home that is in abandonment? Yes. Assuming that the abandonment process has been formally commenced, the landlord would have to wait for the 45 day period to expire and then if the property was over $8,000, it would have to be advertised and sold via sealed bid. The landlord can bid, but must make sure that the bid is high enough that it's not going to be snapped up by another higher bid. If the property is worth $8,000 or less, the landlord could dismantle or give away to a non-profit organization. But if the landlord wanted the home, he would have to advertise and auction and then pay the property taxes and could acquire it. (b) Can he or she bid during the sealed bid process? Yes, as mentioned above. However, sealed bids mean sealed bids - no free peek by the landlord, so he knows how much to make his bid for. The playing field must be level. (c) If no one bids on the house can the landlord purchase it and at what price? Generally this should not come up, since the landlord would normally put in his own protective bid"" which is just a credit bid and represents the amount of costs and fees he's got into the abandonment process. Thus",Null,839,23,99999,0,100000,100001,839,1,1342457839,1402808807,1,0,0,0,0
chuck carpenter,262,15741,column,und,Phil Querin Q&A: When to Use 30 Day Notice of Eviction vs. 24 Hour Notice of Eviction,"<p><strong>Answer:</strong> The statute governing the issuance of a 24-hour notice is ORS 90.396 [Acts or omissions justifying termination 24 hours after notice.] Subsection (1)(f) states that a 24-hour notice may be appropriate in the following circumstances:</p><p>The tenant, someone in the tenant's control or the tenant's pet commits any act that is outrageous in the extreme, on the premises or in the immediate vicinity of the premises. For purposes of this paragraph, an act is outrageous in the extreme if the act is not described in paragraphs (a) to (e) of this subsection, but is similar in degree and is one that a reasonable person in that community would consider to be so offensive as to warrant termination of the tenancy within 24 hours, considering the seriousness of the act or the risk to others. An act that is outrageous in the extreme is more extreme or serious than an act that warrants a 30-day termination under ORS 90.392. [Emphasis mine.]</p><p>Unfortunately, in close cases, what is outrageous"" is frequently in the eyes of the beholder. The question is was this truly an isolated incident for which you could give a 30-day notice that he could cure by simply not repeated within the following 30 days? If he repeated it thereafter [i.e. within 6 months following the date of the 30-day notice] you could terminate with a 20-day",Null,839,23,99999,0,100000,100001,839,1,1345070524,1402809009,1,0,0,0,0
chuck carpenter,275,15740,column,und,Phil Querin Q&A: Reasonable Accommodation and Caregivers,"<p>Answer: The answer would be the same regardless of whether it is a family park or a 55+ park. This is an issue of making a reasonable accommodation"" under the federal fair housing act. Handicapped persons are members of a protected class. Is the resident ""handicapped""? With the various infirmities that can come with older age",Null,839,23,99999,0,100000,100001,839,1,1346192069,1402810306,1,0,0,0,0
chuck carpenter,277,15739,column,und,Phil Querin Q&A: What Type of Fines May And May Not Be Levied By A MHC Landlord,"<p>Answer: The answer is found in ORS 90.302 (Fees allowed for certain landlord expenses). What follows is a brief summary: (1) A landlord may not charge a fee at the beginning of the tenancy for an anticipated expense (i.e. one that has not actually occurred). (2) A landlord may not require the payment of any fee except as provided in this statute. (3) The specific fee must be described in a written rental agreement. (4) The following list are the fees a landlord may charge: a. A late rent payment, pursuant to ORS 90.260. b. A dishonored check, pursuant to ORS 30.701 (5). [Note that the amount of the fee may not exceed the amount described in ORS 30.701 (5) plus any amount that a bank has charged the landlord for processing the dishonored check.] c. Removal or tampering with a properly functioning smoke alarm, smoke detector or carbon monoxide alarm, as provided in ORS 90.325 (2). d. The violation of a written pet agreement or rule relating to pets in a facility, pursuant to ORS 90.530. e. The abandonment or relinquishment of a home during a fixed term tenancy without cause. [Note that the fee may not exceed one and one-half times the monthly rent. A landlord may not assess a fee under this section if the abandonment or relinquishment is pursuant to ORS 90.453 (2) (Termination of tenant who is victim of domestic violence), ORS 90.472 (Termination of tenant who is called to active state service) or ORS 90.475. (Termination of tenant sue to service with Armed Forces)] f. If the landlord assesses a fee under (e) above: i. The landlord may not recover unpaid rent for any period of the fixed term tenancy beyond the date that the landlord knew or reasonably should have known of the abandonment or relinquishment; ii. The landlord may not recover damages related to the cost of renting the dwelling unit to a new tenant; and iii. ORS 90.410 (3) (Effect of tenant failure to give notice of absence) does not apply to the abandonment or relinquishment. (5) Noncompliance with written rules or policies. [Note that the fee may not exceed $50.] (6) A fee may be assessed under paragraph (5), above, only for the following types of noncompliance: a. The late payment of a utility or service charge that the tenant owes the landlord as described in ORS 90.315. b. Failure to clean up pet waste from the tenant's space other than the home itself. c. Failure to clean up garbage, rubbish and other waste from the tenant's space other than the home itself. d. Parking violations. e. The improper use of vehicles within the premises. (7) A landlord is not required to account to a tenant for, or return to, the tenant any fee. (8) Except where the tenant abandons or relinquishes the space during a fixed term tenancy [see (4) e above], a landlord may not charge a tenant any form of liquidated damages, however designated. [Note: A liquidated damage is a pre-fixed amount that doesn't necessarily relate directly to the actual amount of damages suffered by the landlord] (9) Nonpayment of a fee is not grounds for termination of a rental agreement for nonpayment of rent - but is grounds for termination of a rental agreement for cause. (10) The above laws regarding fines do not apply to: a. Attorney fees; b. Applicant screening charges; or c. Charges for improvements or other actions that are requested by the tenant and are not required of the landlord by the rental agreement or by law.</p>",Null,839,23,99999,0,100000,100001,839,1,1346364782,1402810121,1,0,0,0,0
