nid,vid,type,language,title,body,uid,status,date,changed,comment,promote,sticky,tnid,translate
34,13234,community_updates,und,Documents Provided To Prospective Residents,Null,1,1,1297206963,1402693692,1,0,0,0,0
37,13237,community_updates,und,Screening Fees and Notice,Null,1,1,1297206939,1402693692,1,0,0,0,0
38,13238,community_updates,und,Tenant Files,Null,1,1,1303336681,1402693692,1,0,0,0,0
40,13240,community_updates,und,"Department of Housing & Urban Development Requires Re-survey of ""Older Persons""",Null,1,1,1298919234,1402693692,1,0,0,0,0
41,13241,community_updates,und,Revisiting Rules and Regulations in All-age Communities:   Unenforceable Rules Trumped by Familial Status Rights,Null,1,0,1298920995,1511230104,1,0,0,0,0
43,13244,community_updates,und,Documents Upon Acceptance of Residency,Null,1,1,1298923862,1511230134,1,0,0,0,0
44,13245,community_updates,und,Overview of Rental Application Procedures,Null,1,1,1298924148,1511230134,1,0,0,0,0
45,13246,community_updates,und,Screening Criteria - Essential to the Application Process,Null,1,1,1298924618,1511230134,1,0,0,0,0
47,13248,community_updates,und,The Rental Application Form,Null,1,1,1298924824,1511230134,1,0,0,0,0
49,13250,community_updates,und,Acceptance Briefing,Null,1,1,1298998576,1402693692,1,0,0,0,0
50,13251,community_updates,und,Fees and Deposits with regards to Rental/Lease Agreement,Null,1,1,1298998682,1402693692,1,0,0,0,0
51,13252,community_updates,und,Fixed Term Tenancies Length - Termination - New Documents,Null,1,1,1298998748,1402693692,1,0,0,0,0
52,13253,community_updates,und,Overview of Rental Agreement,Null,1,1,1298998797,1511230134,1,0,0,0,0
53,13254,community_updates,und,Prohibited Provisions of a Rental/Lease Agreement,Null,1,1,1298998845,1402693692,1,0,0,0,0
54,13255,community_updates,und,Purchaser of Existing Manufactured Home in the Park,Null,1,1,1298998945,1402693692,1,0,0,0,0
55,13256,community_updates,und,"The ""Red Flags"" Rule: What You Need to Know",Null,1,1,1298999166,1402693692,1,0,0,0,0
56,13257,community_updates,und,Rental Application Process,Null,1,1,1298999290,1511230134,1,0,0,0,0
57,13258,community_updates,und,Required Provisions of a Rental/Lease Agreement,Null,1,1,1298999363,1402693692,1,0,0,0,0
58,13259,community_updates,und,No Rental/Lease Agreement with Current Resident,Null,1,1,1298999396,1512942267,1,0,0,0,0
60,13261,community_updates,und,Security Deposits,Null,1,1,1298999525,1402693705,1,0,0,0,0
61,13262,community_updates,und,Statement of Policy - Complying with the Truth in Renting Act,Null,1,1,1308345572,1402693705,1,0,0,0,0
85,13273,community_updates,und,"Declaration of Non-Military, Not Minor or Incapacitated",Null,1,1,1302219256,1402693705,1,0,0,0,0
86,13265,community_updates,und,MHCO DEFEATS:  Rent Control - Mandatory Mediation - Attorney General  Enforcement of Landlord-Tenant Law,Null,1,1,1343766878,1511230134,1,0,0,0,0
93,13293,community_updates,und,New Americans with Disabilities Act Requirements for Swimming Pools,Null,1,1,1308345452,1402693705,1,0,0,0,0
98,13294,community_updates,und,MHCO Legislative Update - 5-25-2011 - MHCO Defeats Local Rent Control Legislation,Null,1,1,1343766804,1511230134,1,0,0,0,0
104,13304,community_updates,und,Cable Company Offers Community Owner Cash and Equipment/Infrastructure Upgrade,Null,1,1,1317932865,1511230134,1,0,0,0,0
115,13312,community_updates,und,MHCO Final Legislative Status Report - All Legislation Tracked in 2011,Null,1,1,1343766612,1512942336,1,0,0,0,0
132,13322,community_updates,und,Manufactured Housing Communities and the 55+ Older Market,Null,1,1,1343766578,1402693705,1,0,0,0,0
133,13325,community_updates,und,Landlord's Right To Enter Home,Null,1,1,1315848593,1511230134,1,0,0,0,0
142,13335,community_updates,und,Medical Marijuana and Landlord Rights,Null,1,1,1317055572,1511230134,1,0,0,0,0
177,13363,community_updates,und,Increasing Late Fees,Null,1,1,1318260777,1402693692,1,0,0,0,0
179,13365,community_updates,und,Landlord Requirements to have licensed plumber or electtrician,Null,1,1,1319420049,1402693692,1,0,0,0,0
180,13366,community_updates,und,Landlord Requirements to have licensed plumber or electrician,Null,1,1,1319420183,1402693692,1,0,0,0,0
182,13369,community_updates,und,Changing 55 and Older Status and Community Rules,Null,1,1,1321894387,1511230134,1,0,0,0,0
205,13391,community_updates,und,Resident Pays After FED Issued Settles Before Hearing,Null,1,1,1325630896,1511230134,1,0,0,0,0
207,13393,community_updates,und,Abandonment and Resident Destruction of Home,Null,1,1,1326837906,1511230134,1,0,0,0,0
212,13396,community_updates,und,Rent to Own and SAFE Act Implications,Null,1,1,1327355523,1511230134,1,0,0,0,0
228,13408,community_updates,und,"Rental Policies That Fined Families  for Kids' Riding Bikes Yields Settlement  - Oregon Landlord Fined $65,000",Null,1,0,1343766388,1512941616,1,0,0,0,0
232,13410,community_updates,und,State of Oregon Question & Answers and FACTS on the SAFE ACT,Null,1,1,1343766323,1512941616,1,0,0,0,0
233,13415,community_updates,und,Pets!  A Summary of Pets in Your Community Rights and Responsibilites,Null,1,1,1343766297,1511230134,1,0,0,0,0
243,13426,community_updates,und,Beyond The SAFE ACT with Blackhawk Capital Group,Null,1,0,1331680226,1511230134,1,0,0,0,0
247,13430,community_updates,und,Dealer Sells Home With Rent Being Owed to Landlord,Null,1,1,1333991722,1402693692,1,0,0,0,0
250,13434,community_updates,und,Seminar Medford May 17 Left Sub,Null,1,0,1349827560,1415045871,1,0,0,0,0
251,13435,community_updates,und,Manufactured Homes and  Sub Metering  ,Null,1,0,1343766233,1415046989,1,0,0,0,0
255,13439,community_updates,und,Generic Community Rules and Regulations,Null,1,1,1338577971,1511230134,1,0,0,0,0
256,13440,community_updates,und,Storage Agreement Default - Space Not Maintained - 3 Day Notice ,Null,1,1,1338832704,1511230134,1,0,0,0,0
257,13441,community_updates,und,MH Abandonment in Progress - Home Is Sold to Non-Resident Just Before 60 Day Letter Expires,Null,1,1,1340296172,1402693692,1,0,0,0,0
258,13442,community_updates,und,Resident Guest Is A Sex Offender - Leaves and Now Returns - How to Evict,Null,1,1,1341520340,1402693692,1,0,0,0,0
260,13444,community_updates,und,"Theft, Dogs and 24 Hour Notices",Null,1,1,1343676441,1402693682,1,0,0,0,0
268,13414,community_updates,und,Rental Application Process (Part 1 of 6): Overview - Rental Application Process - The Rental Application Form,Null,1,1,1345489349,1511230134,1,0,0,0,0
273,13450,community_updates,und,Rental Application Process  (Part 2 of 6): Documents to Provide Prospective Residents; Screening Criteria,Null,1,1,1346122272,1511230134,1,0,0,0,0
279,13453,community_updates,und,Rental Application Process  (Part 3 of 6): Acceptable Reasons for Refusing and Applicant; Documents to Provide in Denial; Documents Required Upon Acceptance,Null,1,1,1346392997,1511230134,1,0,0,0,0
280,13285,community_updates,und,Bill Miner Recreational Vehicle Question & Answer,Null,1,0,1374885036,1511230134,1,0,0,0,0
284,13457,community_updates,und,Rental Application Process  (Part 4 of 6): Prospective Applicants & Purchasing Existing Manufactured Home in the Community,Null,1,1,1348771468,1402693682,1,0,0,0,0
296,13468,community_updates,und,Application Process (Part 5 of 6)  Statement of Policy - Resident Files ,Null,1,1,1374884986,1511230134,1,0,0,0,0
300,13472,community_updates,und,Application Process (Part 6 of 6)  Screening Fees and Notice,Null,1,1,1352146736,1402693682,1,0,0,0,0
308,13480,community_updates,und,Perspective Renters Verification Service,Null,1,0,1355771130,1415044987,1,0,0,0,0
335,13497,community_updates,und,"The Truth About Publicly Subsidized ""Resident Owned"" Communities - Resident and Community Financial Ruin",Null,1,1,1374884939,1402778566,1,0,0,0,0
376,13538,community_updates,und,Americans With Disabilities Claims (ADA) - Is There a Target on Your Back?,Null,1,0,1376079812,1511230104,1,0,0,0,0
378,13540,community_updates,und,Form 1099 and Protecting Your Investment,Null,1,0,1376566889,1415055209,1,0,0,0,0
406,13566,community_updates,und,Current Lending Climate for Manufactured Home Communities,Null,1,0,1380816894,1415054928,1,0,0,0,0
416,13576,community_updates,und,Fair Housing and Developmental Disabilities,Null,1,0,1384273226,1511230134,1,0,0,0,0
419,13579,community_updates,und,Can You Afford to Keep Utilities Included in Your Rent?,Null,1,0,1384897248,1511230134,1,0,0,0,0
420,13349,community_updates,und,Submeter Your Community at Zero Out of Pocket Landlord Expense,Null,1,0,1385009921,1511230134,1,0,0,0,0
423,13581,community_updates,und,"Lessons From a $76,000 Fair Housing Settlement",Null,1,0,1386962930,1511230134,1,0,0,0,0
448,13597,community_updates,und,Recreational Vehicle Question and Answer with Attorney Mark Busch,Null,1,1,1391574441,1511230134,1,0,0,0,0
450,13610,community_updates,und,Occupancy By Who's Standard (Part 1 of 2),Null,1,0,1392148484,1511230134,1,0,0,0,0
453,13611,community_updates,und,"Comparison of Current Law to Compromise Legislation - (Community Sale Notification Process - Removal of ""Right of First Refusal"" Language from Current Statute)",Null,1,1,1392394181,1511230134,1,0,0,0,0
460,13620,community_updates,und,Helpful Tips for 55 & Older Community Owners,Null,1,0,1394120394,1415054033,1,0,0,0,0
461,13621,community_updates,und,Helpful Tips for 55& Older Community Managers,Null,1,0,1394120467,1415040641,1,0,0,0,0
464,13592,community_updates,und,Recreational Vehicle Question and Answer with Attorney Mark Busch: RV Rental Agreements,Null,1,0,1394729274,1511230134,1,0,0,0,0
