nid,vid,type,language,title,body,uid,status,date,changed,comment,promote,sticky,tnid,translate
34,13234,community_updates,und,Documents Provided To Prospective Residents,"<p>When the prospective resident returns a complete and accurate written rental application, you should provide the applicant the following:</p><ul><li>A copy of the rules and regulations (if not provided earlier)</li><li>Rental agreement form</li><li>Statement of policy (if not provided earlier)</li><li>Rent history of the space</li><li>Criminal check authorization</li><li>Resident applicant screening fee should be acquired prior to accepting the individual as a resident.  ""Application Screening Fee and Receipt"" form is to be signed by a manager when applicant's fees are accepted.</li><li>The landlord must give written notice of what the tenant screening or consumer credit report entails, the landlord's charge for the screening, and the applicant's right to dispute the screening service or credit reporting agency's information if the application is denied based on the credit report.</li><li>Minimum Criteria Standards</li></ul><p>At this point the above documents are to be provided to the prospective applicant.  However, only the application, the criminal check authorization and the applicant screening fee notice and receipt should be signed by the tenant.  The other documents are not to be signed until the application and background checks are completed and the applicant is approved.  The additional documents that are provided when the applicant returns the rental application are provided to the prospective tenant for their information so that they may be aware of the facts and make the housing choice that is right for them.<span>&nbsp;</span></p>",839,1,1297206963,1402693692,1,0,0,0,0
37,13237,community_updates,und,Screening Fees and Notice,"<p>A landlord may require payment of an applicant screening charge solely to cover the costs of obtaining information about an applicant as the landlord processes the application for a rental agreement.  (ORS 90.295) This activity is known as screening, and includes but is not limited to checking reference and obtaining a consumer credit report or tenant screening report.  The landlord must provide the applicant with a receipt for any applicant screening charge.</p><p>The amount of any applicant screening charge shall not be greater than the landlord's average actual cost of screening applicants.  Actual cost may include the cost of using a tenant screening company or a consumer credit reporting agency, and may include the reasonable value of any time spent by the landlord or the landlord's agents in otherwise obtaining information on applicants.  In any case, the applicant screening charge may not be greater than the customary  amount charged by tenant screening companies or consumer credit reporting agencies for comparable level of screening.</p><p>A landlord may not require payment of an applicant screening charge unless prior to the accepting the payment the landlord:</p><ol><li>Adopts written screening or admission criteria</li><li>Gives written notice to the applicant of:<ol><li>the amount of the screening charge</li><li>the screening or admission criteria</li><li>the process that the landlord typically will follow</li><li>the applicant's rights to dispute the accuracy of any information provided.<span>&nbsp;</span></li></ol></li></ol>",839,1,1297206939,1402693692,1,0,0,0,0
38,13238,community_updates,und,Tenant Files,NULL,839,1,1303336681,1402693692,1,0,0,0,0
40,13240,community_updates,und,"Department of Housing & Urban Development Requires Re-survey of ""Older Persons""",NULL,839,1,1298919234,1402693692,1,0,0,0,0
41,13241,community_updates,und,Revisiting Rules and Regulations in All-age Communities:   Unenforceable Rules Trumped by Familial Status Rights,NULL,839,0,1298920995,1511230104,1,0,0,0,0
43,13244,community_updates,und,Documents Upon Acceptance of Residency,NULL,839,1,1298923862,1511230134,1,0,0,0,0
44,13245,community_updates,und,Overview of Rental Application Procedures,NULL,839,1,1298924148,1511230134,1,0,0,0,0
45,13246,community_updates,und,Screening Criteria - Essential to the Application Process,NULL,839,1,1298924618,1511230134,1,0,0,0,0
47,13248,community_updates,und,The Rental Application Form,"<p>The Rental Application form provides the basic information needed to make a decision on accepting the applicant.  Under current Oregon Law you will have not more than 7 days from application to accept or decline a prospective resident.  Used properly, the rental application and personal interview will prove helpful in countering charges of discrimination in renting spaces.  When completed, a rental application should reveal:</p><ul><li>Financial information</li><li>Employment information</li><li>Residence history</li><li>Household members</li><li>Social security number(s)</li><li>Driver license number(s)</li><li>Ownership or lien-holder of the unit</li><li>Age, size and condition of the unit</li><li>Information about motor vehicles</li><li>Pets</li><li>Age verification if the community is classified as 55 or older or 62 or older housing</li><li>Credit references</li><li>Emergency contacts</li><li>Authorization to do credit and criminal checks</li><li>Acknowledgement of receipt of disclosure documents</li></ul><p>At the time the prospective tenant returns an application for residency, the manager or landlord should provide the prospective tenant with copies of the Statement of Policy, the rent history of the space, the Rental Agreement and the Rules and Regulations.  These documents may have been provided earlier in the application packet.  You may provide these documents anytime prior to the signing of the rental/lease agreement (ORS 90.510(3)(a).  However, make sure that the receipt for receiving these documents is signed prior to signing the rental agreement.</p><p>As mentioned earlier, it is advisable to provide the prospective resident these documents with the application so that the prospective resident can make an informed decision regarding where they would like to apply.  Take time to make sure the prospective resident is aware of the content of each of these documents.  It will do the community or the resident little good to have the prospective resident move in without taking the time to read and understand the Statement of Policy, the rent history of the space, the Rental Agreement and the Rules and Regulations.  Poorly informed residents will likely result in future problems in the community.<span>&nbsp;</span></p>",839,1,1298924824,1511230134,1,0,0,0,0
49,13250,community_updates,und,Acceptance Briefing,"<p>Once you have determined that an individual is qualified to live in the community and all the proper documentation has been explained and signed, you should consider a meeting with the new resident.  Use the Park Rules &amp; Regulations as a briefing tool.  The conversation should not be a ""laying down of the law"", but rather an open discussion of what is expected of both the new resident and community management.  New residents may not know their responsibilities (despite signing numerous documents outlining their rights/responsibilities), thus it is your responsibility to clarify and remind them of their responsibilities.  Be sure your new resident understands such things as:</p><ol><li>Rent is due on the first of each month:<ol><li>If rent is paid after the 5th day, the residents will be faced with a late fee.</li><li>If not paid by the 8th day, the resident will receive a 72-hour notice.</li><li>Residents must give 30 days written notice to vacate space or they intend to sell their manufactured home.</li></ol></li><li>Help your new resident be a good neighbor.  Be sure that he/she is informed about:<ol><li>Quiet hours</li><li>Pet Control</li><li>Laundry room/Recreation room hours</li><li>Swimming pool hours</li><li>Review Rules and Regulation and remind the new resident that they are strictly enforced.<span>&nbsp;</span></li></ol></li></ol>",839,1,1298998576,1402693692,1,0,0,0,0
