,,,uid,,,,park,
user,user,0,1,1,und,0,"Cosmonaut Creative Media, LLC",NULL
user,user,0,3,3,und,0,"Cosmonaut Creative Media, LLC",NULL
user,user,0,4,4,und,0,MHCO - Manufactured Housing Communities of Oregon,NULL
user,user,0,8,8,und,0,Camelot Manufactured Home Village,NULL
user,user,0,9,9,und,0,Riverbend MHP,NULL
user,user,0,10,10,und,0,Oak Pointe Estates,NULL
user,user,0,11,11,und,0,Weldon Mobile Home Park,NULL
user,user,0,12,12,und,0,Shady Grove Trailer Park,NULL
user,user,0,15,15,und,0,Country Edge Estates,NULL
user,user,0,17,17,und,0,Cumberland II,NULL
user,user,0,19,19,und,0,Paradise Mobile Home Community  ,NULL
user,user,0,20,20,und,0,Odell Mobilehome Park,NULL
user,user,0,21,21,und,0,Oakview Terrace MHP,NULL
user,user,0,22,22,und,0,Rainbow Gardens Mobile Village LLC,NULL
user,user,0,23,23,und,0,"Commonwealth Investors, LLC",NULL
user,user,0,24,24,und,0,Forest Hills Mobile Estates,NULL
user,user,0,25,25,und,0,Lana Lane Mobile Park,NULL
user,user,0,26,26,und,0,Canine MHP,NULL
user,user,0,27,27,und,0,Madrone Hill Mobile Home Park,NULL
user,user,0,28,28,und,0,Desert Terrace Mobile Estates,NULL
user,user,0,30,30,und,0,Southwest Terrace,NULL
user,user,0,31,31,und,0,Paradise Island Park,NULL
user,user,0,32,32,und,0,"Hearthwood Village, LLC",NULL
user,user,0,33,33,und,0,John Day Village LLC,NULL
user,user,0,34,34,und,0,Woodland Hills Senior Estates,NULL
user,user,0,35,35,und,0,Shady Cove Mobile Home Park,NULL
user,user,0,36,36,und,0,Brookside Mobile Vilage,NULL
user,user,0,37,37,und,0,Sand-n-Wood Mobile Villa,NULL
user,user,0,38,38,und,0,Lee`s Mobile Home Park,NULL
user,user,0,43,43,und,0,Knappa Village,NULL
user,user,0,44,44,und,0,Lazy Days MH and RV Park,NULL
user,user,0,45,45,und,0,Heather Lane Mobile Villas,NULL
user,user,0,48,48,und,0,Kennedy Mobile Home Park,NULL
user,user,0,49,49,und,0,Aspens on the Creek,NULL
user,user,0,50,50,und,0,Lone Acre Mobile Home Park,NULL
user,user,0,51,51,und,0,"Valley View Mobile Estates, LLC",NULL
user,user,0,52,52,und,0,"Madrona and 101 RV Park, LLC",NULL
user,user,0,53,53,und,0,Newcastle Manufactured Housing Community,NULL
user,user,0,54,54,und,0,Kennedy Meadows,NULL
user,user,0,58,58,und,0,Lucas Mobile Home Park,NULL
user,user,0,60,60,und,0,Briarwood,NULL
user,user,0,62,62,und,0,Lakewood Park,NULL
user,user,0,66,66,und,0,Ashland Country Estates,NULL
user,user,0,69,69,und,0,Blue Spruce Mobile Estates,NULL
user,user,0,70,70,und,0,Nez Perce Mobile Home Park,NULL
user,user,0,71,71,und,0,Rose Grove MHP,NULL
user,user,0,73,73,und,0,Thurston Oaks MHP,NULL
user,user,0,74,74,und,0,Camas Mobile Home Park LLC,NULL
user,user,0,75,75,und,0,Angler`s Trailer Village,NULL
user,user,0,77,77,und,0,Country Living MHC,NULL
user,user,0,80,80,und,0,SherRon Estates,NULL
user,user,0,82,82,und,0,Bluff View Mobile Park,NULL
user,user,0,83,83,und,0,Carriage Park Estates,NULL
user,user,0,84,84,und,0,Wunder Mobile Park,NULL
user,user,0,87,87,und,0,Meadowland MHP,NULL
user,user,0,89,89,und,0,"Kampfer Enterprises, Inc",NULL
user,user,0,91,91,und,0,Western Star MHC,NULL
user,user,0,92,92,und,0,Frontier Village Mobile Home Park,NULL
user,user,0,97,97,und,0,Mt. Pleasant MHP,NULL
user,user,0,100,100,und,0,Harmony Acres Mobile Park,NULL
user,user,0,104,104,und,0,Westport Villa 2 Mobile Home Park,NULL
user,user,0,105,105,und,0,Little Valley Mobile Home Park,NULL
user,user,0,106,106,und,0,Country Oak Estates ,NULL
user,user,0,107,107,und,0,Commonwealth Real Estate Services,NULL
