uid,park,name
1,"Cosmonaut Creative Media, LLC",MHCO
3,"Cosmonaut Creative Media, LLC",admin
4,MHCO - Manufactured Housing Communities of Oregon,chuck carpenter
8,Camelot Manufactured Home Village,nellbabcock
9,Riverbend MHP,dalestrom
10,Oak Pointe Estates,jl925sanders
11,Weldon Mobile Home Park,jebrooks3156
12,Shady Grove Trailer Park,Susan Liston
15,Country Edge Estates,John Brandt
17,Cumberland II,teresawalton
19,Paradise Mobile Home Community  ,noroslek
20,Odell Mobilehome Park,OMHP
21,Oakview Terrace MHP,jdspmb
22,Rainbow Gardens Mobile Village LLC,RainbowGardens
23,"Commonwealth Investors, LLC",Carolyn Guy
24,Forest Hills Mobile Estates,forest hills mobile estates
25,Lana Lane Mobile Park,mico6509
26,Canine MHP,Jay Gatsby Carpenter
27,Madrone Hill Mobile Home Park,cathym
28,Desert Terrace Mobile Estates,shoffinger
30,Southwest Terrace,Connie
31,Paradise Island Park,pdisland
32,"Hearthwood Village, LLC",Jan Meekcoms
33,John Day Village LLC,johndaymhp
34,Woodland Hills Senior Estates,cathyneil
35,Shady Cove Mobile Home Park,scmhp
36,Brookside Mobile Vilage,llschnell
37,Sand-n-Wood Mobile Villa,smuerff
38,Lee`s Mobile Home Park,Leesmhp
43,Knappa Village,fitznex
44,Lazy Days MH and RV Park,codeeashton
45,Heather Lane Mobile Villas,gausewitz
48,Kennedy Mobile Home Park,kennedymhp
49,Aspens on the Creek,baggiemama
50,Lone Acre Mobile Home Park,AHNWadmin
51,"Valley View Mobile Estates, LLC",vvme
52,"Madrona and 101 RV Park, LLC",m101
53,Newcastle Manufactured Housing Community,kaydacarp
54,Kennedy Meadows,Kennedy Meadows
58,Lucas Mobile Home Park,jdfeasel
60,Briarwood,pltmhco
62,Lakewood Park,weldon and connie
66,Ashland Country Estates,hpm_llc
69,Blue Spruce Mobile Estates,blue spruce
70,Nez Perce Mobile Home Park,superservice7190
71,Rose Grove MHP,alewis
73,Thurston Oaks MHP,anager1
74,Camas Mobile Home Park LLC,ktardie
75,Angler`s Trailer Village,Tina Schweers
77,Country Living MHC,R_Tufares
80,SherRon Estates,mariestevens
82,Bluff View Mobile Park,marloweb
83,Carriage Park Estates,Ri55596
84,Wunder Mobile Park,Steve
87,Meadowland MHP,Sonna
89,"Kampfer Enterprises, Inc",Lawrence Kampfer
91,Western Star MHC,WesternStar
92,Frontier Village Mobile Home Park,golpher6
97,Mt. Pleasant MHP,Mt. Pleasant
100,Harmony Acres Mobile Park,Betty Seals
104,Westport Villa 2 Mobile Home Park,Marcella
105,Little Valley Mobile Home Park,dicksiedael
106,Country Oak Estates ,Janet McCaslin
107,Commonwealth Real Estate Services,Commonwealth
108,B and E Wayside Mobile and RV Park,BandEWaysideRV
110,"Rustic Ranch, MHP",Rustic Ranch
112,Heidi Manor,David Toth
113,"Hansen Morton Associates, Inc.",Margot Hansen MAI
114,Wood Village MHP,Robert Danielson
115,Estacada Mobile Village,EMV2007@usa.net
116,"Buxton Place, Inc.",loriswan@comcast.net
118,Chateaubri Manufactured Home Park,ChateaubriMHC
120,Ranchette Manor,Ranchette
121,Santiago Estates,jfishbourne@follettusa.com
122,Fernridge Estates,tbmcfadden
123,Salem Greene,Gloria Higdon
126,Oaks Mobile Home Park,manager
127,J and M MHP,semi4444
128,Parr Acres,Parr Acres
129,Parr Acres,Mick_DeSantis
130,Oaks Mobile Home Park,Pamela
131,To-Nis-Gah Mobile Home Park,tonisgahmhp
132,"Candlewood Park, LLC",Rick Malone
133,CountrySide Estates,cse
135,Blue Lake Village Homes,rezaak
137,Chaparral Mobile Ranch,whilterbrand
139,Fischers Place Mobile Home Park,FischersPlace
141,Drifters Mobile Home Park,Jerry Scheffler
143,Indian Bluffs,lfackrell
144,Evergreen Estates,Evergreen Estates
149,Pacific Trailer Park,Pacific Trailer Park
150,Nut Tree Ranch,nuttreeranch
151,Corvallis Mobile Home Park,corvallismhp
